grad_norm,lg_loss_scale,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,sum,sum_q0,sum_q1,sum_q2,sum_q3
114896.24743141746,3.183000000000024,11534.289956283568,15464.539118652367,9917.689060498304,10972.912594332542,9779.743447717625,0.17599929742864331,0.23597014036029612,0.15133192536160742,0.16743335867816989,0.14922704235408973,1608,200,11534.289956283568,15464.539118652367,9917.689060498304,10972.912594332542,9779.743447717625
13307.160792334429,3.383000000000002,481.1501510620115,1264.752033942908,353.3300877939358,182.8643490094595,128.97557597484396,0.007341768662445244,0.019298584502302672,0.005391389279082272,0.002790288528586723,0.001968011108014587,3208,400,481.1501510620115,1264.752033942908,353.3300877939358,182.8643490094595,128.97557597484396
10484.8268557277,3.5829999999999798,345.72534599304197,991.7391923234263,282.830471479713,112.90723493077739,60.6178131300149,0.005275350128067657,0.015132739140677282,0.004315650504756363,0.001722827681438864,0.0009249544239809403,4808,600,345.72534599304197,991.7391923234263,282.830471479713,112.90723493077739,60.6178131300149
6642.32957248513,3.7829999999999577,243.74221394538867,619.4572037750812,211.03084993602053,76.1534166776218,35.17416788868069,0.0037192110282194316,0.009452166805650043,0.003220075224853829,0.0011620089214725007,0.0005367152082623397,6408,800,243.74221394538867,619.4572037750812,211.03084993602053,76.1534166776218,35.17416788868069
9055.209113489153,3.9829999999999357,227.35723560333255,595.3676614334343,208.34498328563419,72.47371904720816,37.613813204881644,0.0034691960999043664,0.00908458956044669,0.0031790921521855802,0.0011058611915162378,0.0005739412415295661,8008,1000,227.35723560333255,595.3676614334343,208.34498328563419,72.47371904720816,37.613813204881644
7812.156749787732,4.1829999999999945,212.33189368247966,555.3790922839235,191.17783263877578,67.73768069659387,27.83978907267253,0.0032399275769421335,0.00847441241888311,0.0029171422216610074,0.001033594981332304,0.00042480146900440263,9608,1200,212.33189368247966,555.3790922839235,191.17783263877578,67.73768069659387,27.83978907267253
6186.23761243918,4.383000000000061,165.84591719627383,417.49957723715886,174.49502754211423,65.6194382867147,26.408460967206707,0.002530607867374784,0.006370537982744734,0.002662582817720249,0.001001273167216716,0.0004029611353638719,11208,1400,165.84591719627383,417.49957723715886,174.49502754211423,65.6194382867147,26.408460967206707
7964.906936317698,4.583000000000128,147.95846493721,346.8593016771171,167.10384752678152,59.56965080358216,24.028612726021816,0.00225766700648819,0.0052926529186571826,0.0025498023609433216,0.0009089607361386437,0.00036664753305087,12808,1600,147.95846493721,346.8593016771171,167.10384752678152,59.56965080358216,24.028612726021816
7126.978742517205,4.783000000000195,150.35372024536147,319.37964925130206,162.0758247923052,56.195862374407156,22.38138053658303,0.0022942157019861065,0.004873346698780854,0.002473080822636493,0.0008574808101563592,0.0003415127645352635,14408,1800,150.35372024536147,319.37964925130206,162.0758247923052,56.195862374407156,22.38138053658303
6337.311649566171,4.983000000000262,125.82069293022153,271.6987933738558,155.95580932694648,52.88912562858766,18.888841928894994,0.0019198714131198353,0.004145794576627438,0.0023796967975913464,0.0008070240116666818,0.00028822085462791434,16008,2000,125.82069293022153,271.6987933738558,155.95580932694648,52.88912562858766,18.888841928894994
6897.126766935602,5.1830000000003285,127.77441741943359,248.48638476384616,161.29229952941571,56.863508801582526,19.78971443280497,0.0019496828829869627,0.0037916013300147424,0.0024611251759249224,0.0008676682861569599,0.0003019670781372829,17608,2200,127.77441741943359,248.48638476384616,161.29229952941571,56.863508801582526,19.78971443280497
